ko_ingredient,en_ingredient,use,score
소듐라우로일하이드롤라이즈드실크,Sodium Lauroyl Hydrolyzed Silk,"모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제",1.0
노녹시놀-15,Nonoxynol-15,계면활성제(유화제),
폴리쿼터늄-68,Polyquaternium-68,"피막형성제, 모발고정제",1.0
하이드록시프로필트라이모늄하이드롤라이즈드실크,Hydroxypropyltrimonium Hydrolyzed Silk,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
수크로오스미리스테이트,Sucrose Myristate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
아세틸테트라펩타이드-9,Acetyl Tetrapeptide-9,피부컨디셔닝제(기타),1.0
다이메틸아이소소바이드,Dimethyl Isosorbide,산화방지제,1.0
수크로오스트라이스테아레이트,Sucrose Tristearate,피부컨디셔닝제(유연제),1.0
소듐메틸타우레이트,Sodium Methyltaurate,피부컨디셔닝제(기타),
모르티에렐라오일,Mortierella Oil,수분증발차단제,
피이지-450,PEG-450,"결합제, 유화안정제, 용제",3.0
위성류꽃/잎추출물,Tamarix Chinensis Flower/Leaf Extract,피부컨디셔닝제(보습제),
펜타에리스리틸테트라코코에이트,Pentaerythrityl Tetracocoate,"결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
분홍노루발추출물,Pyrola Incarnata Extract,피부컨디셔닝제(기타),1.0
소듐페놀설포네이트,Sodium Phenolsulfonate,,
폴리부틸렌글라이콜/엠디아이코폴리머,Polybutylene Glycol/MDI Copolymer,피막형성제,
고추나물추출물,Hypericum Erectum Extract;Otogirisou Ekisu (JPN),피부컨디셔닝제(기타),
비스-부틸다이메티콘폴리글리세릴-3,Bis-Butyldimethicone Polyglyceryl-3,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(유화제), 계면활성제(용해보조제), 점도증가제(수성)",1.0
레스트해로우뿌리추출물,Ononis Spinosa Root Extract;Ononis Arvensis Root Extract,피부컨디셔닝제(기타),
펜타에리스리틸테트라베헤네이트/벤조에이트/에틸헥사노에이트,Pentaerythrityl Tetrabehenate/Benzoate/Ethylhexanoate,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
스테아라민,Stearamine,정전기방지제,3.0
에버라스팅꽃/줄기추출물,Helichrysum Italicum Flower/Stem Extract,피부컨디셔닝제,
하이드로제네이티드코코넛애씨드,Hydrogenated Coconut Acid,"불투명화제, 계면활성제(세정제)",1.0
징크글라이시네이트,Zinc Glycinate,"완충화제, pH 조정제",3.0
로부르참나무껍질추출물,Quercus Robur Bark Extract,피부컨디셔닝제(기타),1.0
글리세릴라놀레이트,Glyceryl Lanolate,"헤어컨디셔닝제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
신양벚나무추출물,Prunus Cerasus (Bitter Cherry) Extract,산화방지제,1.0
태산목잎추출물,Magnolia Grandiflora Leaf Extract,피부컨디셔닝제(기타),1.0
포타슘운데실레노일하이드롤라이즈드밀단백질,Potassium Undecylenoyl Hydrolyzed Wheat Protein,"유화안정제, 모발컨디셔닝제, 피부컨디셔닝제",
다이메틸실란올하이알루로네이트,Dimethylsilanol Hyaluronate,피부컨디셔닝제(기타),1.0
다이올레일토코페릴메틸실란올,Dioleyl Tocopheryl Methylsilanol,"산화방지제, 피부컨디셔닝제(기타)",1.0
입술연지수선화꽃추출물,Narcissus Poeticus Flower Extract,착향제,
큰가시연꽃꽃추출물,Victoria Amazonica Flower Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
스위트아몬드오일폴리글리세릴-6에스터,Sweet Almond Oil Polyglyceryl-6 Esters,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
미파-라우레스설페이트,MIPA-Laureth Sulfate,계면활성제-세정제,4.0
피이지/피피지-120/10트라이메틸올프로판트라이올리에이트,PEG/PPG-120/10 Trimethylolpropane Trioleate,점도증가제(수성),
씨로켓추출물,Cakile Maritima Extract,피부컨디셔닝제(기타),1.0
티이에이-라우레스설페이트,TEA-Laureth Sulfate,계면활성제-세정제,4.0
실버라임추출물,Tilia Tomentosa Extract,피부컨디셔닝제(기타),1.0
피이지-120메틸글루코오스트라이올리에이트,PEG-120 Methyl Glucose Trioleate,"피부컨디셔닝제(유연제), 계면활성제(세정제), 점도증가제(수성)",3.0
폴리쿼터늄-47,Polyquaternium-47,"피막형성제, 모발고정제, 피부컨디셔닝제",1.0
브이피/디마파아크릴레이트코폴리머,VP/DMAPA Acrylates Copolymer,모발고정제,
벤질아세테이트,Benzyl Acetate,향료,1.0
레티닐리놀리에이트,Retinyl Linoleate,피부컨디셔닝제(기타),9.0
트라이데실살리실레이트,Tridecyl Salicylate,피부컨디셔닝제(기타),1.0
다이옥틸도데실도데케인다이오에이트,Dioctyldodecyl Dodecanedioate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
돌콩전초추출물,Glycine Soja (Soybean) Extract,피부컨디셔닝제(기타),
세테아릴메티콘,Cetearyl Methicone,피부컨디셔닝제(수분차단제),1.0
부틸프탈이미드,Butylphthalimide,"가소제, 피부컨디셔닝제(기타), 용제",1.0
하이드롤라이즈드헤이즐넛단백질,Hydrolyzed Hazelnut Protein,피부컨디셔닝제(기타),1.0
아이소프로필프탈이미드,Isopropylphthalimide,"가소제, 피부컨디셔닝제(기타), 용제",1.0
올리고펩타이드-5,Oligopeptide-5,피부컨디셔닝제(기타),1.0
에틸렌브라실레이트,Ethylene Brassylate,"착향제, 피부컨디셔닝제(기타)",1.0
대추야자씨,Phoenix Dactylifera (Date) Seed,피부컨디셔닝제(기타),
글리세릴다이올리에이트,Glyceryl Dioleate,피부컨디셔닝제(유연제),1.0
피피지-2아이소세테스-20아세테이트,PPG-2 Isoceteth-20 Acetate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
월도잎추출물,Alpinia Speciosa Leaf Extract,피부컨디셔닝제(유연제),
푸쿠스 세라투스추출물,Fucus Serratus Extract,피부컨디셔닝제(기타),1.0
세테아릴다이메티콘크로스폴리머,Cetearyl Dimethicone Crosspolymer,"피막형성제, 모발고정제",1.0
소이아미노산,Soy Amino Acids,"모발컨디셔닝제, 피부컨디셔닝제",1.0
미리스틸라우레이트,Myristyl Laurate,계면활성제-유화제,1.0
하이드록시카프릴릭애씨드,Hydroxycaprylic Acid,피부컨디셔닝제(기타),
팔미토일글라이신,Palmitoyl Glycine,"헤어컨디셔닝제, 계면활성제(세정제)",1.0
페릭헥사펩타이드-35,Ferric Hexapeptide-35,피부컨디셔닝제(기타),1.0
메틸실란올하이드록시프롤린아스파테이트,Methylsilanol Hydroxyproline Aspartate,피부컨디셔닝제(기타),1.0
폴리아크릴레이트-21,Polyacrylate-21,"결합제, 피막형성제, 모발고정제",
C11-15파레스-7,C11-15 Pareth-7,계면활성제-유화제,1.0
하이드록시피나콜론레티노에이트,Hydroxypinacolone Retinoate,피부컨디셔닝제(기타),
쿼터늄-22,Quaternium-22,"정전기방지제, 피막형성제, 모발컨디셔닝제",4.0
미리스틸프로피오네이트,Myristyl Propionate,피부유연화제,1.0
프로필렌글라이콜다이펠라고네이트,Propylene Glycol Dipelargonate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
소듐우르솔레이트,Sodium Ursolate,피부컨디셔닝제(기타),1.0
피이지-10소이스테롤,PEG-10 Soy Sterol,"피부컨디셔닝제, 계면활성제-유화제",
"2,6-다이메틸-7-옥텐-2-올","2,6-Dimethyl-7-Octen-2-ol","수렴제, 착향제",1.0
메틸페닐부탄올,Methyl Phenylbutanol,착향제,1.0
폴리에스터-8,Polyester-8,"피막형성제, 피부컨디셔닝제",1.0
에틸헥실아이소스테아레이트,Ethylhexyl Isostearate,피부컨디셔닝제(유연제),1.0
마텔잎추출물,Myrtus Communis Leaf Extract,피부컨디셔닝제(기타),1.0
아프리코트커넬오일피이지-6에스터,Apricot Kernel Oil PEG-6 Esters,"피부유연화제, 계면활성제-유화제",3.0
스위트아몬드오일불검화물,Prunus Amygdalus Dulcis (Sweet Almond) Oil Unsaponifiables,"유화안정제, 점도증가제(비수성)",1.0
하이드로제네이티드스위트아몬드오일불검화물,Hydrogenated Sweet Almond Oil Unsaponifiables,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
키토산석신아마이드,Chitosan Succinamide,피막형성제,1.0
다이하이드로콜레스테릴올리에이트,Dihydrocholesteryl Oleate,피부컨디셔닝제(유연제),
콜레스테릴부티레이트,Cholesteryl Butyrate,피부컨디셔닝제,
다이하이드로콜레스테릴부티레이트,Dihydrocholesteryl Butyrate,피부컨디셔닝제(유연제),
옥틸도데실에루케이트,Octyldodecyl Erucate,수분증발차단제,1.0
수크로오스폴리리놀리에이트,Sucrose Polylinoleate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
독활추출물,Aralia Cordata Extract,피부컨디셔닝제(기타),
포트마리골드꽃,Calendula Officinalis Flower,각질제거제,
폴리글리세릴-10에이코산다이오에이트/테트라데칸다이오에이트,Polyglyceryl-10 Eicosanedioate/Tetradecanedioate,"헤어컨디셔닝제, 피부컨디셔닝제(수분차단제)",
갈릴글루코사이드,Gallyl Glucoside,"산화방지제, 피부컨디셔닝제(기타)",1.0
레몬그라스잎오일,Cymbopogon Citratus Leaf Oil,"산화방지제, 착향제, 피부컨디셔닝제(기타)",
락토바실러스/올리브나무잎발효추출물,Lactobacillus/Olive Leaf Ferment Extract,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",
효모/페퍼민트잎발효여과물,Saccharomyces/Peppermint Leaf Ferment Filtrate,피부컨디셔닝제(기타),
산국추출물,,"산화방지제,피부컨디셔닝제(기타)",
팔미토일트라이펩타이드-36,Palmitoyl Tripeptide-36,피부컨디셔닝제(기타),
락토바실러스/효모/천궁뿌리/황련뿌리/옥수수/대추발효여과물,Lactobacillus/Saccharomyces/Cnidii Rhizoma Root/Coptidis Rhizoma Root/Corn/Zizyphus Jujuba Fruit Ferment Filtrate,피부보호제,
잔탄검크로스폴리머,Xanthan Gum Crosspolymer,"피부보호제, 피부컨디셔닝제(기타)",
피이지-23스테아레이트,PEG-23 Stearate,"계면활성제-세정제, 계면활성제-용해보조제",
사이잘추출물,Agave Rigida (Sisal) Extract,피부컨디셔닝제(기타),1.0
아이슬란드이끼추출물,Cetraria Islandica Extract,피부컨디셔닝제,
흰소나무껍질추출물,Pinus Strobus Bark Extract,피부컨디셔닝제(기타),
트라이메틸실록시아모다이메티콘,Trimethylsiloxyamodimethicone,헤어컨디셔닝제,1.0
다이팔미토일에틸다이모늄클로라이드,Dipalmitoylethyl Dimonium Chloride,"정전기방지제, 헤어컨디셔닝제",
스트렙토코쿠스 테르모필루스발효물,Streptococcus Thermophilus Ferment,피부컨디셔닝제(보습제),
무궁화나무껍질추출물,Hibiscus Syriacus Bark Extract,피부컨디셔닝제(기타),1.0
셀러리뿌리/씨추출물,Apium Graveolens (Celery) Root/Seed Extract,향료,
소두구씨추출물,Elettaria Cardamomum Seed Extract,"향료, 피부컨디셔닝제",
큰다닥냉이싹추출물,Lepidium Sativum Sprout Extract,피부컨디셔닝제(기타),
고수씨추출물,Coriandrum Sativum (Coriander) Seed Extract,피부컨디셔닝제(기타),1.0
무궁화씨추출물,Hibiscus Syriacus Seed Extract,피부컨디셔닝제(유연제),
단향씨추출물,Santalum Album (Sandalwood) Seed Extract,피부컨디셔닝제(기타),
블랙커민씨추출물,Nigella Sativa Seed Extract,피부컨디셔닝제(기타),
소엽씨추출물,Perilla Frutescens Seed Extract,피부컨디셔닝제(기타),
클로브씨추출물,Eugenia Caryophyllus (Clove) Seed Extract,피부컨디셔닝제(기타),
쿠민씨추출물,Cuminum Cyminum (Cumin) Seed Extract,"착향제, 피부컨디셔닝제(기타)",3.0
타라곤씨/캐모마일씨/텃슨씨추출물,Artemisia Dracunculus Seed (Tarragon)/Anthemis Nobilis Seed/Hypericum Androsaemum Seed Extract,피부컨디셔닝제(기타),
캐러웨이씨오일,Carum Carvi (Caraway) Seed Oil,착향제,1.0
효모/녹차추출발효여과물,Saccharomyces/Camellia Sinensis Extract Ferment Filtrate,피부컨디셔닝제(기타),
바실러스/동충하초/영지/차가버섯/표고버섯/진흙버섯/치마버섯/송이버섯추출물발효여과물,Bacillus/Cordyceps Sinensis/Ganoderma Lucidum/Inonotus Obliquus/Lentinus Edodes/Phellinus Linteus/Schizophyllum Commune/Tricholoma Matsutake Extract Ferment Filtrate,피부컨디셔닝제(기타),
락토바실러스/쇠비름발효추출물,Lactobacillus/Portulaca Oleracea Ferment Extract,"산화방지제, 피부컨디셔닝제(기타)",
락토바실러스/병풀/조각자나무가시/약모밀추출물/황벽나무껍질/호장근뿌리/꿀풀/사상자추출물발효여과물,Lactobacillus/Centella Asiatica/Gleditsia Sinensis Thorn/Houttuynia Cordata Extract/Phellodendron Amurense Bark/Polygonum Cuspidatum Root/Prunella Vulgaris/Torilis Japonica Extract Ferment Filtrate,피부컨디셔닝제(기타),
키위수,Actinidia Chinensis (Kiwi) Fruit Water,향료,1.0
말레익애씨드,Maleic Acid,"착향제, pH 조정제",3.0
세타미도라이신아미도폴리아스파틱애씨드,Cetamido Lysinamido Polyaspartic Acid,피부컨디셔닝제(기타),
참나무식초,Oak Vinegar,피부컨디셔닝제(기타),
사과즙,Pyrus Malus (Apple) Juice,피부컨디셔닝제,1.0
하이드로제네이티드시어버터,Hydrogenated Shea Butter,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
아스퍼질러스/효모/보리씨발효추출물,Aspergillus/Saccharomyces/Barley Seed Ferment Extract,피부컨디셔닝제(기타),
락토바실러스/녹두씨발효여과물,Lactobacillus/Phaseolus Radiatus Seed Ferment Filtrate,피부컨디셔닝제(기타),
락토바실러스/퀴노아발효추출여과물,Lactobacillus/Quinoa Ferment Extract Filtrate,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
락토바실러스/귀리발효추출여과물,Lactobacillus/Oat Ferment Extract Filtrate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
푸른연꽃수,Nymphaea Caerulea Flower Water,피부컨디셔닝제(기타),
녹차오일,Camellia Sinensis Leaf Oil,"산화방지제, 피부컨디셔닝제(기타)",
투쿠마씨버터,Astrocaryum Tucuma Seed Butter,피부컨디셔닝제(유연제),1.0
단삼꽃/잎/뿌리추출물,Salvia Miltiorrhiza Flower/Leaf/Root Extract,피부컨디셔닝제(기타),
부틸렌글라이콜프로피오네이트,Butylene Glycol Propionate,용제,
쥐오줌풀뿌리추출물,Valeriana Fauriei Root Extract,피부컨디셔닝제(기타),
브이피/다이메티코닐아크릴레이트/폴리카바밀폴리글라이콜에스터,VP/Dimethiconylacrylate/Polycarbamyl Polyglycol Ester,피막형성제,
라이신아스파테이트,Lysine Aspartate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
크랜베리즙,Vaccinium Macrocarpon (Cranberry) Fruit Juice,피부컨디셔닝제(기타),1.0
피이지-10라우레이트,PEG-10 Laurate,계면활성제-유화제,4.0
레틴알,Retinal,피부컨디셔닝제(기타),6.0
운데실람노사이드,Undecyl Rhamnoside,,
아세타마이드엠이에이,Acetamide MEA,"헤어컨디셔닝제, 피부컨디셔닝제(보습제), 계면활성제(거품촉진제), 점도증가제(수성)",4.0
비스-피이지-15메틸에터다이메티콘,Bis-PEG-15 Methyl Ether Dimethicone,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(유화제)",
도데실갈레이트,Dodecyl Gallate,산화방지제,1.0
비스-에톡시다이글라이콜석시네이트,Bis-Ethoxydiglycol Succinate,"피부컨디셔닝제(보습제), 용제",
소듐아르간암포아세테이트,Sodium Arganamphoacetate,계면활성제(세정제),
카리오덴드론 오리노켄세씨오일,Caryodendron Orinocense Seed Oil,"헤어컨디셔닝제, 피부컨디셔닝제(유연제)",
해인초추출물,Digenea Simplex Extract,,1.0
황칠나무추출물,Dendropanax Morbiferus Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
락토바실러스/쌀발효물,Lactobacillus/Rice Ferment,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
주엽나무열매추출물,Gleditsia Japonica Fruit Extract,피부컨디셔닝제(기타),
아이소스테아릴하이드록시스테아레이트,Isostearyl Hydroxystearate,피부컨디셔닝제(유연제),1.0
에틸락테이트,Ethyl Lactate,"착향제, 용제",4.0
아밀아세테이트,Amyl Acetate,"향료, 용제",1.0
징크리시놀리에이트,Zinc Ricinoleate,"안티케이킹제, 불투명화제",1.0
인도멀구슬나무씨오일,Melia Azadirachta Seed Oil,수분증발차단제,
하이드로플루오로카본152에이,Hydrofluorocarbon 152a,분사제,1.0
피이지-2다이메도우폼아미도에틸모늄메토설페이트,PEG-2 Dimeadowfoamamidoethylmonium Methosulfate,"정전기방지제, 헤어컨디셔닝제",3.0
폴리실리콘-19,Polysilicone-19,헤어컨디셔닝제,
야콘뿌리즙,Polymnia Sonchifolia Root Juice,피부컨디셔닝제(기타),1.0
타라검,Caesalpinia Spinosa Gum,"점착제, 피부컨디셔닝제(기타), 점도증가제(수성)",1.0
폴리글리세릴-4라우릴에터,Polyglyceryl-4 Lauryl Ether,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
너도밤나무씨추출물,Fagus Sylvatica Seed Extract,"수렴제, 피부컨디셔닝제(기타)",
분꽃씨추출물,Mirabilis Jalapa Seed Extract,피부보호제,
커피나무열매추출물,Coffea Arabica (Coffee) Fruit Extract,산화방지제,
푸르메리아 루브라꽃추출물,Plumeria Rubra Flower Extract,피부컨디셔닝제(기타),1.0
신령버섯추출물,Agaricus Blazei (Mushroom) Extract;Agaricus Blazeii Extract,피부컨디셔닝제(기타),
네오펜틸글라이콜,Neopentyl Glycol,"가소제, 용제",1.0
저령추출물,Polyporus Umbellatus (Mushroom) Extract,,1.0
마텔추출물,Myrtus Communis Extract,피부컨디셔닝제(기타),
트라이에틸헥실트라이멜리테이트,Triethylhexyl Trimellitate,"가소제, 피부컨디셔닝제(유연제)",1.0
소듐스타네이트,Sodium Stannate,,1.0
폴리옥시에틸렌세틸스테아릴다이에터,Polyoxyethylene Cetyl Stearyl Diether,,
하이드롤라이즈드사과펙틴추출물,Hydrolyzed Pyrus Malus (Apple) Pectin Extract,피부컨디셔닝제(기타),
둥근빗살현호색꽃/잎/줄기추출물,Fumaria Officinalis Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),
푸마릭애씨드,Fumaric Acid,"향료, pH 조절제",1.0
황련추출물,Coptis Japonica Extract,피부컨디셔닝제(기타),
노란잎코스모스꽃/잎/줄기추출물,Cosmos Sulphureus Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),
소이밀크,Soymilk,피부컨디셔닝제,1.0
볼도잎추출물,Peumus Boldus Leaf Extract,피부컨디셔닝제(기타),1.0
하얀장미꽃추출물,Rosa Alba Flower Extract,피부컨디셔닝제(유연제),1.0
트라이소듐포스페이트,Trisodium Phosphate,pH 조정제,1.0
글리세레스-12,Glycereth-12,"피부컨디셔닝제(보습제), 점도감소제",1.0
잎새버섯/우엉열매추출물발효여과물,Grifola Frondosa (Maitake)/Arctium Lappa Fruit Extract Ferment Filtrate,피부컨디셔닝제(기타),
잎새버섯/(인삼/지황/감초/참당귀/소엽맥문동/큰꽃삽주/황기)뿌리/쌀/귤껍질/잇꽃꽃발효여과물,Grifola Frondosa (Maitake)/(Panax Ginseng/Rehmannia Glutinosa/Glycyrrhiza Uralensis/Angelica Gigas/Ophiopogon Japonicus/Atractylodes Macrocephala/Astragalus Membranaceus) Root/ Rice Seed/Citrus Unshiu Peel/Carthamus Tinctorius Flower Ferment Filtrate,피부컨디셔닝제(유연제),
실크,Silk,벌킹제(증량제),1.0
나일론-611/다이메티콘코폴리머,Nylon-611/Dimethicone Copolymer,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 점도증가제(비수성)",
조류,Algae,피부컨디셔닝제,
기장가루,Panicum Miliaceum (Millet) Seed Flour,,1.0
향기제비꽃잎추출물,Viola Odorata Leaf Extract,착향제,1.0
다이소듐코코-글루코사이드설포석시네이트,Disodium Coco-Glucoside Sulfosuccinate,"계면활성제(세정제), 계면활성제(유화제)",1.0
석영가루,Quartz Powder,연마제,
화산모래,Volcanic Sand,피부컨디셔닝제(기타),1.0
세팔린,Cephalins,피부컨디셔닝제,
락티스프로테이눔,Lactis Proteinum,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
라이코펜,Lycopene;CI 75125,산화방지제,
후추열매오일,Piper Nigrum (Pepper) Fruit Oil,착향제,
설령쥐오줌풀뿌리줄기/뿌리추출물,Valeriana Officinalis Rhizome/Root Extract,피부컨디셔닝제(기타),
피이지-15펜타에리스리틸테트라(라우레스-6카복실레이트),PEG-15 Pentaerythrityl Tetra(Laureth-6 Carboxylate),"보습제, 피부보호제",
피이지-18글리세릴올리에이트/코코에이트,PEG-18 Glyceryl Oleate/Cocoate,계면활성제-유화제,
아크릴릭애씨드/포스포릴콜린글라이콜아크릴레이트크로스폴리머,Acrylic Acid/Phosphorylcholine Glycol Acrylate Crosspolymer,점도증가제(수성),
몰약수지추출물,Commiphora Myrrha Resin Extract,"네일컨디셔닝제, 피부컨디셔닝제(기타)",
안식향나무수지추출물,Styrax Tonkinensis Resin Extract,피부컨디셔닝제(기타),1.0
레몬밤잎오일,Melissa Officinalis Leaf Oil,착향제,
락틱애씨드/글라이콜릭애씨드코폴리머,Lactic Acid/Glycolic Acid Copolymer,피부컨디셔닝제(기타),
라쿠차목부추출물,Artocarpus Lakoocha Wood Extract,"산화방지제, 피부컨디셔닝제(기타)",
폴리우레탄-24/메틸메타크릴레이트크로스폴리머,Polyurethane-24/Methyl Methacrylate Crosspolymer,모발고정제,
펜탄,Pentane,"분사제, 용제, 점도감소제",2.0
세리아/실리카탈크,Ceria/Silica Talc,광안정화제,
피피지-20-데실테트라데세스-10,PPG-20-Decyltetradeceth-10,계면활성제(유화제),
모하비유카잎/뿌리/줄기추출물,Yucca Schidigera Leaf/Root/Stem Extract,"착향제, 계면활성제(세정제)",
피이지-60글리세릴다이아이소스테아레이트,PEG-60 Glyceryl Diisostearate,계면활성제(유화제),
황색202호의(2),Uranine K;CI 45350,착색제,
소듐글루쿠로네이트,Sodium Glucuronate,보습제,
올레스-3,Oleth-3,"향료, 계면활성제-유화제",3.0
효모/동충하초발효여과물,Saccharomyces/Cordyceps Sinensis Ferment Filtrate,피부컨디셔닝제(기타),
락토바실러스/로얄젤리발효여과물,Lactobacillus/Royal Jelly Ferment Filtrate,피부컨디셔닝제(보습제),
효모/구기자발효추출여과물,Saccharomyces/Lycium Chinense Fruit Ferment Extract Filtrate,피부컨디셔닝제(기타),
효모/쑥잎발효여과물,Saccharomyces/Artemisia Princeps Leaf Ferment Filtrate,"보습제, 피부컨디셔닝제(기타)",
효모/구릿대뿌리발효추출물,Saccharomyces/Angelica Dahurica Root Ferment Extract,피부컨디셔닝제(기타),
다빌라 루고사잎추출물,Davilla Rugosa Leaf Extract,피부컨디셔닝제(기타),
하이드롤라이즈드비즈왁스,Hydrolyzed BeesWax,"유화안정제, 계면활성제-유화제",1.0
코코넛알칸,Coconut Alkanes,"피부컨디셔닝제(유연제), 용제",1.0
오소리오일,Badger Oil,피부컨디셔닝제(기타),
스위트아몬드껍질가루,Prunus Amygdalus Dulcis (Sweet Almond) Shell Powder,연마제,1.0
베헤닐베타인,Behenyl Betaine,"산화방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",
파인애플추출물베타-글루칸,Pineapple Fruit Extract Beta-Glucan,피부컨디셔닝제(기타),
다이스테아릴에터,Distearyl Ether,피부컨디셔닝제(수분차단제),1.0
아이소데실살리실레이트,Isodecyl Salicylate,피부컨디셔닝제(기타),1.0
하이드롤라이즈드효모,Hydrolyzed Yeast,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
폴리우레탄-2,Polyurethane-2,피막형성제,1.0
서던우드추출물,Artemisia Abrotanum Extract,피부보호제,
세라마이드이오에스,Ceramide EOS,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
카프로오일피토스핑고신,Caprooyl Phytosphingosine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
카프로오일스핑고신,Caprooyl Sphingosine,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
알지닉애씨드,Alginic Acid,"결합제, 피부컨디셔닝제, 점증제-수용성",1.0
폴리아크릴레이트-3,Polyacrylate-3,점도증가제(수성),1.0
암모늄설페이트,Ammonium Sulfate,점도증가제(수성),2.0
다이소듐리시놀레아미도엠이에이-설포석시네이트,Disodium Ricinoleamido MEA-Sulfosuccinate,"계면활성제(세정제), 계면활성제(거품촉진제), 계면활성제(친수제)",
다이스테아레스-100아이피디아이,Disteareth-100 IPDI,점도증가제(수성),
하이드록시스테아릴세틸에터,Hydroxystearyl Cetyl Ether,불투명화제,1.0
폴리실리콘-8,Polysilicone-8,"기포방지제, 피막형성제, 모발컨디셔닝제",1.0
폴리쿼터늄-16,Polyquaternium-16,"정전기방지제, 피막형성제, 모발고정제",1.0
잇꽃글루코사이드,Safflower Glucoside,헤어컨디셔닝제,1.0
알란토인아세틸메티오닌,Allantoin Acetyl Methionine,피부컨디셔닝제(기타),1.0
폴리우레탄-6,Polyurethane-6,"결합제, 피막형성제, 모발고정제",1.0
브이에이/비닐부틸벤조에이트/크로토네이트코폴이머,VA/Vinyl Butyl Benzoate/Crotonates Copolymer,"피막형성제, 모발고정제",
피이지/피피지-4/12다이메티콘,PEG/PPG-4/12 Dimethicone,계면활성제(유화제),
하이드로제네이티드스타이렌/부타다이엔코폴리머,Hydrogenated Styrene/Butadiene Copolymer,"피막형성제, 점도증가제(비수성)",
폴리글리세릴-6아이소스테아레이트,Polyglyceryl-6 Isostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
피피지-70폴리글리세릴-10에터,PPG-70 Polyglyceryl-10 Ether,모발고정제,
다이에틸루티디네이트,Diethyllutidinate,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
에칠토실아마이드,Ethyl Tosylamide,가소제,3.0
비스(글라이시독시페닐)프로판/비스아미노메틸노보네인코폴리머,Bis(Glycidoxyphenyl)propane/Bisaminomethylnorbornane Copolymer,피막형성제,
폴리우레탄-33,Polyurethane-33,결합제,
프로필아세테이트,Propyl Acetate,"향료, 용제",2.0
황색201호,Fluorescein;CI 45350:1,착색제,
화산재추출물,Volcanic Ash Extract,피부컨디셔닝제(기타),
운데실렌아마이드디이에이,Undecylenamide DEA,"헤어컨디셔닝제, 계면활성제(거품촉진제), 점도증가제(수성)",2.0
옥톡시놀-9,Octoxynol-9,계면활성제-유화제,5.0
글리세릴리시놀리에이트,Glyceryl Ricinoleate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
메밀가루,Polygonum Fagopyrum (Buckwheat) Flour,피부컨디셔닝제(기타),
운데실알코올,Undecyl Alcohol,"착향제, 피부컨디셔닝제(유연제), 점도증가제(수성), 점도증가제(비수성)",1.0
하이드록시프로필옥시다이즈드스타치피지-트라이모늄클로라이드,Hydroxypropyl Oxidized Starch PG-Trimonium Chloride,"피막형성제, 헤어컨디셔닝제, 보습제, 피부컨디셔닝제(기타)",
파파야열매,Carica Papaya (Papaya) Fruit,,
피이지-9,PEG-9,"보습제, 용제",3.0
피피지-10메틸글루코오스에터,PPG-10 Methyl Glucose Ether,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
락토바실러스/사과/오렌지껍질/당근/오이/레몬추출발효여과물,,,
티이에이-라우로일글루타메이트,TEA-Lauroyl Glutamate,"모발컨디셔닝제, 계면활성제-세정제",
