ko_ingredient,en_ingredient,use,score
폴리솔베이트60,Polysorbate 60,"착향제, 계면활성제(유화제), 계면활성제(용해보조제)",
비치스트로베리추출물,Fragaria Chiloensis (Strawberry) Fruit Extract,피부컨디셔닝제(기타),1.0
서양산딸기추출물,Rubus Fruticosus (Blackberry) Fruit Extract,착향제,1.0
로우스위트블루베리추출물,Vaccinium Angustifolium (Blueberry) Fruit Extract,피부컨디셔닝제(기타),1.0
라즈베리추출물,Rubus Idaeus (Raspberry) Fruit Extract,피부컨디셔닝제(기타),1.0
아사이팜열매추출물,Euterpe Oleracea Fruit Extract,헤어컨디셔닝제,
레드초크베리추출물,Aronia Arbutifolia Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
엘더열매추출물,Sambucus Nigra Fruit Extract,피부컨디셔닝제(기타),1.0
크랜베리추출물,Vaccinium Macrocarpon (Cranberry) Fruit Extract,피부컨디셔닝제(기타),1.0
스쿠알란,Squalane,"모발컨디셔닝제, 수분증발차단제",1.0
하이드로제네이티드폴리데센,Hydrogenated Polydecene,"향료, 모발컨디셔닝제, 피부유연화제, 피부컨디셔닝제, 용제",2.0
테트라소듐이디티에이,Tetrasodium EDTA,금속이온봉쇄제,2.0
탈지분유,Nonfat Dry Milk;Sine Adipe Lac,"모발컨디셔닝제, 피부컨디셔닝제",
다이소듐이디티에이,Disodium EDTA,금속이온봉쇄제,1.0
비스-다이글리세릴폴리아실아디페이트-2,Bis-Diglyceryl Polyacyladipate-2,피부컨디셔닝제(유연제),1.0
피토스테릴/옥틸도데실라우로일글루타메이트,Phytosteryl/Octyldodecyl Lauroyl Glutamate,수분증발차단제,
합성비즈왁스,Synthetic Beeswax,"결합제, 유화안정제, 점도증가제(비수성)",1.0
다이머다이리놀레일다이머다이리놀리에이트,Dimer Dilinoleyl Dimer Dilinoleate,"결합제, 헤어컨디셔닝제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
C20-40알코올,C20-40 Alcohols,"유화안정제, 수분증발차단제",1.0
데실옥사졸리다이논,Decyloxazolidinone,"가소제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 계면활성제(용해보조제)",1.0
